Wall time,Step,Value
1586945229.880944,5,189.96463012695312
1586945231.94639,6,177.96629333496094
1586945240.39158,10,167.43003845214844
1586945242.651388,11,172.13929748535156
1586945246.504485,13,169.4407501220703
1586945248.555535,14,170.76593017578125
1586945250.958058,15,169.36199951171875
1586945255.243929,17,162.5058135986328
1586945257.463706,18,161.1620330810547
1586945259.652978,19,168.3367462158203
1586945261.726186,20,163.44454956054688
1586945270.540845,24,163.71914672851562
1586945291.965179,33,158.30975341796875
1586945294.161279,34,153.18927001953125
1586945298.929933,36,155.91983032226562
1586945305.130039,39,158.9381866455078
1586945307.631721,40,156.44068908691406
1586945311.908031,42,153.3120574951172
1586945316.196729,44,155.32626342773438
1586945318.109372,45,156.54200744628906
1586945321.862651,47,163.24026489257812
1586945326.358023,49,152.35963439941406
1586945328.365629,50,159.45538330078125
1586945334.410604,53,156.31663513183594
1586945336.722256,54,153.30642700195312
1586945338.940708,55,156.57589721679688
1586945341.007611,56,151.46173095703125
1586945343.320987,57,154.54708862304688
1586945350.014627,60,153.25123596191406
1586945352.905592,61,154.7384033203125
1586945357.297235,63,154.58335876464844
1586945361.573407,65,146.461669921875
1586945363.433996,66,156.98573303222656
1586945365.368857,67,149.2402801513672
1586945367.186743,68,152.59730529785156
1586945372.844849,71,151.39376831054688
1586945374.891665,72,152.2987823486328
1586945377.123979,73,153.18096923828125
1586945379.398168,74,152.4217987060547
1586945384.402101,76,147.98406982421875
1586945390.725464,79,154.2693634033203
1586945406.694975,84,151.5064697265625
1586945409.099891,85,143.5098419189453
1586945411.660069,86,148.74072265625
1586945415.767423,87,146.60922241210938
1586945419.591583,88,145.76931762695312
1586945422.108834,89,147.1319122314453
1586945432.65084,94,146.05906677246094
1586945450.071141,102,142.05535888671875
1586945458.536744,105,143.25186157226562
1586945462.148535,106,146.7803192138672
1586945481.112681,113,141.6671905517578
1586945487.837141,116,142.00059509277344
1586945492.165079,118,140.0667724609375
1586945494.300149,119,136.722412109375
1586945496.197574,120,145.88088989257812
1586945509.011427,124,141.28065490722656
1586945511.26815,125,144.47113037109375
1586945513.491425,126,140.01605224609375
1586945519.797008,129,136.2637176513672
1586945521.932143,130,140.74072265625
1586945528.206922,133,138.44309997558594
1586945537.827795,137,139.67298889160156
1586945542.684622,139,139.0554962158203
1586945547.041408,141,136.08926391601562
1586945550.352165,142,138.92120361328125
1586945552.594146,143,138.84445190429688
1586945555.121546,144,140.50909423828125
1586945563.457407,148,133.76206970214844
1586945569.975381,150,136.23318481445312
1586945576.245757,153,139.37860107421875
1586945579.649391,154,141.533447265625
1586945581.760664,155,136.46209716796875
1586945585.798627,157,144.49403381347656
1586945587.665473,158,135.28892517089844
1586945589.515749,159,137.97640991210938
1586945595.848104,162,135.77191162109375
1586945599.555459,164,137.73912048339844
1586945601.447989,165,135.96481323242188
1586945606.738139,167,140.3494110107422
1586945608.98935,168,135.88755798339844
1586945615.316619,171,131.90716552734375
1586945626.669413,176,134.6131591796875
1586945630.271219,177,140.7915496826172
1586945632.556869,178,135.22621154785156
1586945637.202201,180,134.89450073242188
1586945639.15983,181,140.41432189941406
1586945643.781805,183,137.45933532714844
1586945648.002178,185,136.60357666015625
1586945650.141067,186,136.54815673828125
1586945652.308525,187,136.6990966796875
1586945656.387026,188,138.01548767089844
1586945662.550548,190,137.6815948486328
1586945666.796881,191,136.32107543945312
1586945683.025023,198,137.2345733642578
1586945691.805565,202,136.70538330078125
1586945700.053616,206,133.84971618652344
1586945701.93605,207,136.2764892578125
1586945705.347091,208,137.34616088867188
1586945713.491615,212,138.1282958984375
1586945719.209716,215,135.92388916015625
1586945725.034264,218,135.60325622558594
1586945726.851018,219,133.08135986328125
1586945733.121645,222,132.797119140625
1586945735.215587,223,136.71600341796875
1586945739.293716,225,135.4722442626953
1586945741.372425,226,133.6822509765625
1586945744.95802,227,134.317626953125
1586945749.199569,229,136.6602020263672
1586945751.577128,230,138.06748962402344
1586945755.79919,232,134.29588317871094
1586945757.696664,233,131.4185791015625
1586945759.578663,234,134.76319885253906
1586945765.57661,237,134.17648315429688
1586945772.112829,240,133.13037109375
1586945784.955393,245,132.85641479492188
1586945789.406288,247,133.4100799560547
1586945793.916286,249,131.767578125
1586945796.144331,250,136.3585662841797
1586945807.643317,255,137.965576171875
1586945814.763426,258,131.8885040283203
1586945816.914175,259,133.3553924560547
1586945818.898328,260,134.05958557128906
1586945820.952394,261,134.54031372070312
1586945825.493113,263,128.4551544189453
1586945834.031458,267,134.54275512695312
1586945837.758009,269,132.4588623046875
1586945841.808266,271,134.21444702148438
1586945845.744921,273,135.51174926757812
1586945855.847536,278,130.25662231445312
1586945859.880204,280,132.37413024902344
1586945869.326915,284,134.27610778808594
1586945880.048547,289,131.66664123535156
1586945884.098246,291,139.84884643554688
1586945886.378458,292,133.84938049316406
1586945893.363088,295,134.31295776367188
1586945897.128945,297,134.49942016601562
1586945899.037831,298,130.14364624023438
1586945900.905643,299,135.26211547851562
1586945904.777973,301,131.1896209716797
1586945908.14109,302,135.2808074951172
1586945910.498737,303,133.7940216064453
1586945919.440993,307,134.2245330810547
1586945921.76559,308,132.97207641601562
1586945925.798698,310,132.4981231689453
1586945933.789047,313,131.49508666992188
1586945943.349323,317,137.77870178222656
1586945945.357685,318,130.3675537109375
1586945947.373727,319,137.22879028320312
1586945949.421089,320,132.07748413085938
1586945953.460849,322,134.0331573486328
1586945959.96329,325,132.4434356689453
1586945962.215085,326,132.63999938964844
1586945964.484022,327,131.36398315429688
1586945970.464716,330,127.95451354980469
1586945972.50027,331,137.88055419921875
1586945976.494551,333,130.9286346435547
1586945988.436967,339,133.64474487304688
1586945992.770097,341,135.4412384033203
1586945998.730497,344,132.79541015625
1586946000.713871,345,130.93150329589844
1586946004.962314,347,134.91815185546875
1586946007.273763,348,135.9268341064453
1586946016.943398,353,128.6033935546875
1586946019.298398,354,130.3070526123047
1586946023.441624,356,130.35183715820312
