Wall time,Step,Value
1586945542.684463,139,132.56324768066406
1586945547.041285,141,130.14906311035156
1586945550.351967,142,128.29798889160156
1586945552.593933,143,127.4284896850586
1586945555.121277,144,129.893310546875
1586945563.457292,148,121.50908660888672
1586945569.975142,150,127.57685089111328
1586945576.245642,153,135.1231231689453
1586945579.649275,154,128.50198364257812
1586945581.760423,155,126.90264129638672
1586945585.798513,157,129.48779296875
1586945587.665359,158,126.9341812133789
1586945589.515636,159,127.30107879638672
1586945595.847986,162,124.77186584472656
1586945599.555346,164,121.66262817382812
1586945601.447875,165,133.4473419189453
1586945606.73802,167,127.7548599243164
1586945608.989234,168,128.06201171875
1586945615.316504,171,129.03378295898438
1586945626.669196,176,124.80512237548828
1586945630.270984,177,125.9866714477539
1586945632.55666,178,125.13333129882812
1586945637.202085,180,121.49039459228516
1586945639.159579,181,130.09942626953125
1586945643.781602,183,124.96016693115234
1586945648.001926,185,128.96682739257812
1586945650.140952,186,129.0060272216797
1586945652.308376,187,125.10038757324219
1586945656.386789,188,126.40615844726562
1586945662.550301,190,123.8659439086914
1586945666.796697,191,120.85771179199219
1586945683.024838,198,124.07258605957031
1586945691.805443,202,126.18290710449219
1586945700.053501,206,127.08020782470703
1586945701.935931,207,116.9329605102539
1586945705.346974,208,121.22285461425781
1586945713.491318,212,131.64920043945312
1586945719.209599,215,122.8855209350586
1586945725.034149,218,124.53528594970703
1586945726.850864,219,116.31817626953125
1586945733.121524,222,123.19032287597656
1586945735.215352,223,131.07406616210938
1586945739.293602,225,122.63117218017578
1586945741.372198,226,126.35369110107422
1586945744.957871,227,122.82466888427734
1586945749.199341,229,137.1861572265625
1586945751.576941,230,134.04820251464844
1586945755.799063,232,116.99634552001953
1586945757.69655,233,121.86005401611328
1586945759.578548,234,118.21440887451172
1586945765.576394,237,119.28177642822266
1586945772.112679,240,121.14662170410156
1586945784.955161,245,121.02989196777344
1586945789.406172,247,123.33289337158203
1586945793.916064,249,123.06631469726562
1586945796.143976,250,125.30914306640625
1586945807.643175,255,119.7848129272461
1586945814.763313,258,114.86825561523438
1586945816.91406,259,120.07083892822266
1586945818.898215,260,121.06920623779297
1586945820.952279,261,117.6656265258789
1586945825.492998,263,121.88152313232422
1586945834.031344,267,124.87944793701172
1586945837.757894,269,116.59686279296875
1586945841.808063,271,121.16956329345703
1586945845.744806,273,119.68277740478516
1586945855.847421,278,111.36164855957031
1586945859.880087,280,111.89244842529297
1586945869.326797,284,116.6438980102539
1586945880.048431,289,119.56411743164062
1586945884.098131,291,117.64947509765625
1586945886.378343,292,115.86589813232422
1586945893.362962,295,112.04290771484375
1586945897.128828,297,117.20902252197266
1586945899.037716,298,118.27456665039062
1586945900.905528,299,116.32703399658203
1586945904.777846,301,112.37454986572266
1586945908.140977,302,113.8525390625
1586945910.498484,303,119.34169006347656
1586945919.440877,307,124.62735748291016
1586945921.765365,308,117.26045227050781
1586945925.798438,310,117.66793060302734
1586945933.788928,313,116.61832427978516
1586945943.349207,317,122.68727111816406
1586945945.35757,318,117.34364318847656
1586945947.373614,319,120.59183502197266
1586945949.420975,320,116.25206756591797
1586945953.460534,322,115.0246810913086
1586945959.963154,325,121.67316436767578
1586945962.21497,326,112.75225067138672
1586945964.483903,327,116.50592041015625
1586945970.464601,330,117.75090789794922
1586945972.500156,331,118.63408660888672
1586945976.494434,333,116.94551849365234
1586945988.436852,339,116.65306854248047
1586945992.76998,341,115.1900405883789
1586945998.730382,344,116.77214813232422
1586946000.713756,345,119.30094146728516
1586946004.962199,347,122.78582000732422
1586946007.273644,348,113.8869857788086
1586946016.943284,353,120.76189422607422
1586946019.298274,354,114.40459442138672
1586946023.441509,356,113.70414733886719
1586946027.48474,358,119.44290161132812
1586946029.490994,359,114.45213317871094
1586946031.514518,360,116.25756072998047
1586946037.652183,363,113.7787094116211
1586946039.663123,364,118.71137237548828
1586946045.70179,367,114.94209289550781
1586946047.867953,368,116.46700286865234
1586946052.580031,370,115.1556396484375
1586946054.672538,371,115.02861022949219
1586946058.911858,373,116.41910552978516
1586946067.805087,377,113.91937255859375
1586946070.09273,378,122.25065612792969
1586946072.155626,379,118.68153381347656
1586946078.29737,381,116.71990966796875
1586946081.326508,382,115.388671875
1586946088.481038,385,112.78236389160156
1586946090.615662,386,114.25270080566406
1586946092.830805,387,113.68616485595703
1586946095.032387,388,116.25789642333984
1586946099.06325,390,114.79209899902344
1586946101.080153,391,110.87559509277344
1586946103.124176,392,113.28107452392578
1586946105.196403,393,114.25997161865234
1586946127.162883,402,112.32526397705078
1586946129.198077,403,108.98119354248047
1586946133.141189,405,115.04500579833984
1586946139.248396,408,110.45118713378906
1586946154.543865,415,114.63356018066406
1586946156.777036,416,114.61052703857422
1586946164.891741,420,116.60649108886719
1586946167.07684,421,117.38024139404297
1586946169.496943,422,115.48197174072266
1586946174.100444,424,112.97443389892578
1586946178.149267,426,112.26994323730469
1586946189.114576,430,127.29576873779297
1586946214.244659,439,116.85243225097656
1586946216.662535,440,110.62296295166016
1586946218.74339,441,110.00969696044922
1586946221.392875,442,113.47985076904297
1586946226.281604,444,121.68888092041016
1586946228.207351,445,112.46538543701172
1586946234.15738,448,122.00967407226562
1586946241.245272,451,111.04741668701172
1586946254.890102,458,116.28433990478516
1586946256.739723,459,112.48773956298828
1586946258.587359,460,115.20008850097656
1586946260.476616,461,120.10543060302734
1586946264.373082,463,113.6044921875
1586946266.28167,464,113.25936126708984
1586946268.153675,465,110.74942779541016
1586946271.880484,467,110.75724029541016
1586946273.703762,468,113.95305633544922
1586946277.203312,469,112.68177032470703
1586946281.516611,471,115.51322174072266
1586946285.605114,473,115.86466979980469
1586946287.71817,474,111.22935485839844
1586946295.481902,478,114.06234741210938
1586946308.804073,485,109.14026641845703
1586946314.430375,488,117.65657043457031
1586946316.290395,489,115.74520111083984
1586946320.029943,491,114.73885345458984
1586946323.78549,493,114.6806411743164
1586946329.321844,496,125.58677673339844
1586946349.860125,507,114.19248962402344
1586946355.502994,510,113.83929443359375
1586946358.888844,511,113.5400390625
1586946360.855935,512,112.65747833251953
1586946365.205126,514,112.14586639404297
1586946369.298262,516,106.7968978881836
1586946372.683748,517,109.22819519042969
1586946377.25895,519,106.02287292480469
1586946389.658445,524,108.93636322021484
1586946391.893089,525,113.72404479980469
1586946406.073375,531,118.63028717041016
1586946410.389448,533,110.17977905273438
1586946412.396167,534,108.67930603027344
