Wall time,Step,Value
1586945229.880695,5,0.024044547230005264
1586945231.946012,6,0.021736707538366318
1586945240.391301,10,0.020538626238703728
1586945242.65095,11,0.020866477862000465
1586945246.504243,13,0.020595278590917587
1586945248.555081,14,0.019991014152765274
1586945250.957803,15,0.02044571377336979
1586945255.243673,17,0.019794436171650887
1586945257.463413,18,0.01907040923833847
1586945259.652712,19,0.01993722841143608
1586945261.725704,20,0.01891644485294819
1586945270.540598,24,0.01952856406569481
1586945291.964937,33,0.01774563454091549
1586945294.161027,34,0.017355462536215782
1586945298.92969,36,0.017571160569787025
1586945305.129778,39,0.017245778813958168
1586945307.631176,40,0.016827773302793503
1586945311.907727,42,0.016004664823412895
1586945316.196466,44,0.016080370172858238
1586945318.108918,45,0.016542699187994003
1586945321.862404,47,0.016495881602168083
1586945326.357749,49,0.015720495954155922
1586945328.365386,50,0.015333855524659157
1586945334.410365,53,0.015505214221775532
1586945336.721748,54,0.01408240757882595
1586945338.940457,55,0.014426214620471
1586945341.00736,56,0.014910215511918068
1586945343.320708,57,0.01441796962171793
1586945350.014377,60,0.01417003944516182
1586945352.905051,61,0.013860797509551048
1586945357.296993,63,0.013638405129313469
1586945361.573146,65,0.012616352178156376
1586945363.433742,66,0.013499035499989986
1586945365.368606,67,0.013132973574101925
1586945367.1865,68,0.012866541743278503
1586945372.844589,71,0.012913160026073456
1586945374.891129,72,0.013241229578852654
1586945377.123711,73,0.012598193250596523
1586945379.397801,74,0.012853356078267097
1586945384.401846,76,0.012142037972807884
1586945390.725052,79,0.012368609197437763
1586945406.694483,84,0.011936688795685768
1586945409.099492,85,0.012530163861811161
1586945411.659445,86,0.012055945582687855
1586945415.766947,87,0.011566457338631153
1586945419.591181,88,0.0114139998331666
1586945422.108577,89,0.011222156696021557
1586945432.650577,94,0.01147877611219883
1586945450.070893,102,0.01034999918192625
1586945458.536472,105,0.010887641459703445
1586945462.148282,106,0.010599063709378242
1586945481.112136,113,0.01136859506368637
1586945487.836761,116,0.009645162150263786
1586945492.164293,118,0.01016757171601057
1586945494.299896,119,0.009917070157825947
1586945496.197326,120,0.010842358693480492
1586945509.011022,124,0.01017923653125763
1586945511.267768,125,0.01129940152168274
1586945513.491064,126,0.009914262220263481
1586945519.796746,129,0.009702755138278008
1586945521.93187,130,0.011226436123251915
1586945528.206677,133,0.00993059016764164
1586945537.827229,137,0.010406248271465302
1586945542.684216,139,0.009558044373989105
1586945547.041109,141,0.009797252714633942
1586945550.351718,142,0.009826570749282837
1586945552.593653,143,0.009759989567101002
1586945555.12102,144,0.009695451706647873
1586945563.457161,148,0.009025616571307182
1586945569.974872,150,0.009524230845272541
1586945576.245507,153,0.009783070534467697
1586945579.649134,154,0.009702308103442192
1586945581.760223,155,0.009334724396467209
